,Date,Time,Temp,Rain,Day of the Week,School Holiday,Public Holiday
324,2023-11-21,22:00:00,27,0,Tuesday,1,0
325,2023-11-22,09:00:00,27,0,Wednesday,1,0
326,2023-11-22,10:00:00,28,0,Wednesday,1,0
327,2023-11-22,11:00:00,29,0,Wednesday,1,0
328,2023-11-22,12:00:00,30,0,Wednesday,1,0
329,2023-11-22,13:00:00,31,0,Wednesday,1,0
330,2023-11-22,14:00:00,31,0,Wednesday,1,0
331,2023-11-22,15:00:00,31,0,Wednesday,1,0
332,2023-11-22,16:00:00,31,0,Wednesday,1,0
333,2023-11-22,17:00:00,29,0,Wednesday,1,0
334,2023-11-22,17:30:00,28,0,Wednesday,1,0
335,2023-11-22,18:00:00,28,1,Wednesday,1,0
336,2023-11-22,19:00:00,28,0,Wednesday,1,0
337,2023-11-22,20:00:00,29,0,Wednesday,1,0
338,2023-11-22,21:00:00,29,0,Wednesday,1,0
339,2023-11-22,22:00:00,29,0,Wednesday,1,0
340,2023-11-23,09:00:00,28,0,Thursday,1,0
341,2023-11-23,10:00:00,30,0,Thursday,1,0
342,2023-11-23,11:00:00,30,0,Thursday,1,0
343,2023-11-23,12:00:00,31,0,Thursday,1,0
344,2023-11-23,13:00:00,32,0,Thursday,1,0
345,2023-11-23,14:00:00,32,0,Thursday,1,0
346,2023-11-23,15:00:00,30,0,Thursday,1,0
347,2023-11-23,16:00:00,31,0,Thursday,1,0
348,2023-11-23,16:25:00,30,0,Thursday,1,0
349,2023-11-23,17:00:00,30,0,Thursday,1,0
350,2023-11-23,18:00:00,28,0,Thursday,1,0
351,2023-11-23,18:35:00,27,0,Thursday,1,0
352,2023-11-23,19:00:00,27,0,Thursday,1,0
353,2023-11-23,19:34:00,26,0,Thursday,1,0
354,2023-11-23,20:00:00,25,0,Thursday,1,0
355,2023-11-23,21:00:00,25,1,Thursday,1,0
356,2023-11-23,22:00:00,26,1,Thursday,1,0
357,2023-11-24,09:00:00,27,0,Friday,1,0
358,2023-11-24,10:00:00,27,0,Friday,1,0
359,2023-11-24,11:00:00,28,0,Friday,1,0
360,2023-11-24,12:00:00,30,0,Friday,1,0
361,2023-11-24,13:00:00,30,0,Friday,1,0
362,2023-11-24,14:00:00,30,0,Friday,1,0
363,2023-11-24,15:00:00,31,0,Friday,1,0
364,2023-11-24,16:00:00,32,0,Friday,1,0
365,2023-11-24,17:00:00,31,0,Friday,1,0
366,2023-11-24,17:10:00,30,0,Friday,1,0
367,2023-11-24,18:00:00,27,0,Friday,1,0
368,2023-11-24,19:00:00,28,0,Friday,1,0
369,2023-11-24,20:00:00,27,0,Friday,1,0
370,2023-11-24,20:35:00,27,0,Friday,1,0
371,2023-11-24,21:00:00,27,0,Friday,1,0
372,2023-11-24,22:00:00,28,0,Friday,1,0
373,2023-11-25,09:00:00,28,0,Saturday,1,0
374,2023-11-25,10:00:00,29,0,Saturday,1,0
375,2023-11-25,11:00:00,30,0,Saturday,1,0
376,2023-11-25,12:00:00,32,0,Saturday,1,0
377,2023-11-25,13:00:00,30,0,Saturday,1,0
378,2023-11-25,14:00:00,29,0,Saturday,1,0
379,2023-11-25,15:00:00,29,1,Saturday,1,0
380,2023-11-25,15:04:00,29,0,Saturday,1,0
381,2023-11-25,16:00:00,27,0,Saturday,1,0
382,2023-11-25,17:00:00,26,1,Saturday,1,0
383,2023-11-25,18:00:00,26,1,Saturday,1,0
384,2023-11-25,19:00:00,27,1,Saturday,1,0
385,2023-11-25,20:00:00,26,1,Saturday,1,0
386,2023-11-25,21:00:00,26,0,Saturday,1,0
387,2023-11-25,22:00:00,26,0,Saturday,1,0
388,2023-11-26,09:00:00,28,0,Sunday,1,0
389,2023-11-26,10:00:00,29,0,Sunday,1,0
390,2023-11-26,11:00:00,32,0,Sunday,1,0
391,2023-11-26,12:00:00,31,0,Sunday,1,0
392,2023-11-26,13:00:00,31,0,Sunday,1,0
393,2023-11-26,14:00:00,31,0,Sunday,1,0
394,2023-11-26,15:00:00,30,0,Sunday,1,0
395,2023-11-26,16:00:00,29,0,Sunday,1,0
396,2023-11-26,17:00:00,27,0,Sunday,1,0
397,2023-11-26,18:00:00,26,0,Sunday,1,0
398,2023-11-26,19:00:00,25,1,Sunday,1,0
399,2023-11-26,20:00:00,25,1,Sunday,1,0
400,2023-11-26,21:00:00,25,0,Sunday,1,0
401,2023-11-26,22:00:00,25,0,Sunday,1,0
402,2023-11-27,09:00:00,27,0,Monday,1,0
403,2023-11-27,10:00:00,28,0,Monday,1,0
404,2023-11-27,11:00:00,30,0,Monday,1,0
405,2023-11-27,12:00:00,32,0,Monday,1,0
406,2023-11-27,13:00:00,32,0,Monday,1,0
407,2023-11-27,14:00:00,29,0,Monday,1,0
408,2023-11-27,15:00:00,29,0,Monday,1,0
409,2023-11-27,16:00:00,28,1,Monday,1,0
410,2023-11-27,17:00:00,26,1,Monday,1,0
411,2023-11-27,17:35:00,26,0,Monday,1,0
412,2023-11-27,18:00:00,26,0,Monday,1,0
413,2023-11-27,19:00:00,26,0,Monday,1,0
414,2023-11-27,20:00:00,26,0,Monday,1,0
415,2023-11-27,21:00:00,26,0,Monday,1,0
416,2023-11-27,22:00:00,26,0,Monday,1,0
417,2023-11-28,09:00:00,28,0,Tuesday,1,0
418,2023-11-28,10:00:00,30,0,Tuesday,1,0
419,2023-11-28,11:00:00,31,0,Tuesday,1,0
420,2023-11-28,12:00:00,31,0,Tuesday,1,0
421,2023-11-28,13:00:00,33,0,Tuesday,1,0
422,2023-11-28,14:00:00,32,0,Tuesday,1,0
423,2023-11-28,15:00:00,26,0,Tuesday,1,0
424,2023-11-28,16:00:00,27,0,Tuesday,1,0
425,2023-11-28,17:00:00,26,0,Tuesday,1,0
426,2023-11-28,17:25:00,27,1,Tuesday,1,0
427,2023-11-28,18:00:00,27,1,Tuesday,1,0
428,2023-11-28,19:00:00,27,1,Tuesday,1,0
429,2023-11-28,20:00:00,27,0,Tuesday,1,0
430,2023-11-28,21:00:00,26,0,Tuesday,1,0
431,2023-11-28,22:00:00,26,0,Tuesday,1,0
432,2023-11-29,09:00:00,27,0,Wednesday,1,0
433,2023-11-29,10:00:00,28,0,Wednesday,1,0
434,2023-11-29,11:00:00,29,0,Wednesday,1,0
435,2023-11-29,12:00:00,29,0,Wednesday,1,0
436,2023-11-29,13:00:00,30,0,Wednesday,1,0
437,2023-11-29,14:00:00,31,0,Wednesday,1,0
438,2023-11-29,15:00:00,32,0,Wednesday,1,0
439,2023-11-29,16:00:00,33,0,Wednesday,1,0
440,2023-11-29,17:00:00,31,0,Wednesday,1,0
441,2023-11-29,17:15:00,30,0,Wednesday,1,0
442,2023-11-29,18:00:00,30,0,Wednesday,1,0
443,2023-11-29,19:00:00,29,0,Wednesday,1,0
444,2023-11-29,20:00:00,29,0,Wednesday,1,0
445,2023-11-29,21:00:00,27,0,Wednesday,1,0
446,2023-11-29,22:00:00,27,0,Wednesday,1,0
447,2023-11-30,09:00:00,29,0,Thursday,1,0
448,2023-11-30,10:00:00,30,0,Thursday,1,0
449,2023-11-30,11:00:00,31,0,Thursday,1,0
450,2023-11-30,12:00:00,29,0,Thursday,1,0
451,2023-11-30,13:00:00,32,0,Thursday,1,0
452,2023-11-30,14:00:00,27,1,Thursday,1,0
453,2023-11-30,14:03:00,27,0,Thursday,1,0
454,2023-11-30,14:15:00,29,0,Thursday,1,0
455,2023-11-30,15:00:00,29,0,Thursday,1,0
456,2023-11-30,15:26:00,26,0,Thursday,1,0
457,2023-11-30,16:00:00,26,0,Thursday,1,0
458,2023-11-30,17:00:00,26,0,Thursday,1,0
459,2023-11-30,17:38:00,27,1,Thursday,1,0
460,2023-11-30,18:00:00,26,1,Thursday,1,0
461,2023-11-30,18:11:00,26,0,Thursday,1,0
462,2023-11-30,18:40:00,26,1,Thursday,1,0
463,2023-11-30,19:00:00,26,0,Thursday,1,0
464,2023-11-30,20:00:00,26,0,Thursday,1,0
465,2023-11-30,20:10:00,26,0,Thursday,1,0
466,2023-11-30,20:30:00,26,0,Thursday,1,0
467,2023-12-01,09:00:00,25,1,Friday,1,0
468,2023-12-01,12:00:00,29,0,Friday,1,0
469,2023-12-02,09:00:00,27,0,Saturday,1,0
470,2023-12-02,12:00:00,32,0,Saturday,1,0
471,2023-12-02,15:00:00,30,0,Saturday,1,0
472,2023-12-02,20:00:00,28,0,Saturday,1,0
473,2023-12-03,09:00:00,27,0,Sunday,1,0
474,2023-12-03,10:00:00,27,0,Sunday,1,0
475,2023-12-03,11:00:00,27,0,Sunday,1,0
476,2023-12-03,12:00:00,27,0,Sunday,1,0
477,2023-12-03,13:00:00,26,1,Sunday,1,0
478,2023-12-03,14:00:00,26,1,Sunday,1,0
479,2023-12-03,15:00:00,26,1,Sunday,1,0
480,2023-12-03,16:00:00,27,1,Sunday,1,0
481,2023-12-03,17:00:00,27,0,Sunday,1,0
482,2023-12-03,18:00:00,28,0,Sunday,1,0
483,2023-12-03,19:00:00,27,0,Sunday,1,0
484,2023-12-03,20:00:00,26,0,Sunday,1,0
485,2023-12-03,21:00:00,25,0,Sunday,1,0
486,2023-12-03,22:00:00,26,0,Sunday,1,0
487,2023-12-04,09:00:00,28,0,Monday,1,0
488,2023-12-05,14:00:00,32,0,Tuesday,1,0
489,2023-12-05,15:00:00,34,0,Tuesday,1,0
490,2023-12-05,16:00:00,32,0,Tuesday,1,0
491,2023-12-05,17:00:00,31,0,Tuesday,1,0
492,2023-12-05,17:52:00,28,0,Tuesday,1,0
