Date/Time,Wait Time,Month,Day,Time,Day of Week,Number of Visitors,Number of New Visitors Arriving,Time Interval,Number of New Visitors Arriving_sum
2024-02-11 16:50:00,43,2,11,16:50,Sunday,215,0.0,2024-02-11 16:00:00,1000.0
2024-02-11 16:55:00,41,2,11,16:55,Sunday,205,0.0,2024-02-11 16:00:00,1000.0
2024-02-11 17:00:00,38,2,11,17:00,Sunday,190,0.0,2024-02-11 17:00:00,0.0
2024-02-11 17:05:00,34,2,11,17:05,Sunday,170,0.0,2024-02-11 17:00:00,0.0
2024-02-11 17:10:00,34,2,11,17:10,Sunday,170,0.0,2024-02-11 17:00:00,0.0
2024-02-11 17:15:00,33,2,11,17:15,Sunday,165,0.0,2024-02-11 17:00:00,0.0
2024-02-11 17:20:00,33,2,11,17:20,Sunday,165,0.0,2024-02-11 17:00:00,0.0
2024-02-11 17:25:00,31,2,11,17:25,Sunday,155,0.0,2024-02-11 17:00:00,0.0
2024-02-11 17:30:00,30,2,11,17:30,Sunday,150,0.0,2024-02-11 17:00:00,0.0
2024-02-11 17:35:00,30,2,11,17:35,Sunday,150,0.0,2024-02-11 17:00:00,0.0
2024-02-11 17:40:00,30,2,11,17:40,Sunday,150,0.0,2024-02-11 17:00:00,0.0
2024-02-11 17:45:00,28,2,11,17:45,Sunday,140,0.0,2024-02-11 17:00:00,0.0
2024-02-11 17:50:00,27,2,11,17:50,Sunday,135,0.0,2024-02-11 17:00:00,0.0
2024-02-11 17:55:00,24,2,11,17:55,Sunday,120,0.0,2024-02-11 17:00:00,0.0
2024-02-11 18:00:00,22,2,11,18:00,Sunday,110,0.0,2024-02-11 18:00:00,1200.0
2024-02-11 18:05:00,24,2,11,18:05,Sunday,120,400.0,2024-02-11 18:00:00,1200.0
2024-02-11 18:10:00,24,2,11,18:10,Sunday,120,0.0,2024-02-11 18:00:00,1200.0
2024-02-11 18:15:00,26,2,11,18:15,Sunday,130,400.0,2024-02-11 18:00:00,1200.0
2024-02-11 18:20:00,27,2,11,18:20,Sunday,135,200.0,2024-02-11 18:00:00,1200.0
2024-02-11 18:25:00,25,2,11,18:25,Sunday,125,0.0,2024-02-11 18:00:00,1200.0
2024-02-11 18:30:00,24,2,11,18:30,Sunday,120,0.0,2024-02-11 18:00:00,1200.0
