,datetime,Date,Time,Temp,rain,Day of the Week,School Holiday,Public Holiday,Weekend,type_of_day
196,2024-08-09 13:16:00,2024-08-09,13:16:00,29,1,Friday,0,1,0,3
197,2024-08-09 13:17:00,2024-08-09,13:17:00,29,1,Friday,0,1,0,3
198,2024-08-09 13:18:00,2024-08-09,13:18:00,29,1,Friday,0,1,0,3
199,2024-08-09 13:19:00,2024-08-09,13:19:00,29,1,Friday,0,1,0,3
200,2024-08-09 13:20:00,2024-08-09,13:20:00,29,1,Friday,0,1,0,3
201,2024-08-09 13:21:00,2024-08-09,13:21:00,29,1,Friday,0,1,0,3
202,2024-08-09 13:22:00,2024-08-09,13:22:00,29,1,Friday,0,1,0,3
203,2024-08-09 13:23:00,2024-08-09,13:23:00,29,1,Friday,0,1,0,3
204,2024-08-09 13:24:00,2024-08-09,13:24:00,29,1,Friday,0,1,0,3
205,2024-08-09 13:25:00,2024-08-09,13:25:00,29,1,Friday,0,1,0,3
206,2024-08-09 13:26:00,2024-08-09,13:26:00,29,1,Friday,0,1,0,3
207,2024-08-09 13:27:00,2024-08-09,13:27:00,29,1,Friday,0,1,0,3
208,2024-08-09 13:28:00,2024-08-09,13:28:00,29,1,Friday,0,1,0,3
209,2024-08-09 13:29:00,2024-08-09,13:29:00,29,1,Friday,0,1,0,3
210,2024-08-09 13:30:00,2024-08-09,13:30:00,29,1,Friday,0,1,0,3
211,2024-08-09 13:31:00,2024-08-09,13:31:00,29,1,Friday,0,1,0,3
212,2024-08-09 13:32:00,2024-08-09,13:32:00,29,1,Friday,0,1,0,3
213,2024-08-09 13:33:00,2024-08-09,13:33:00,29,1,Friday,0,1,0,3
214,2024-08-09 13:34:00,2024-08-09,13:34:00,29,1,Friday,0,1,0,3
215,2024-08-09 13:35:00,2024-08-09,13:35:00,29,1,Friday,0,1,0,3
216,2024-08-09 13:36:00,2024-08-09,13:36:00,29,1,Friday,0,1,0,3
217,2024-08-09 13:37:00,2024-08-09,13:37:00,29,1,Friday,0,1,0,3
218,2024-08-09 13:38:00,2024-08-09,13:38:00,29,1,Friday,0,1,0,3
219,2024-08-09 13:39:00,2024-08-09,13:39:00,29,1,Friday,0,1,0,3
220,2024-08-09 13:40:00,2024-08-09,13:40:00,29,1,Friday,0,1,0,3
221,2024-08-09 13:41:00,2024-08-09,13:41:00,29,1,Friday,0,1,0,3
222,2024-08-09 13:42:00,2024-08-09,13:42:00,29,1,Friday,0,1,0,3
223,2024-08-09 13:43:00,2024-08-09,13:43:00,29,1,Friday,0,1,0,3
224,2024-08-09 13:44:00,2024-08-09,13:44:00,29,1,Friday,0,1,0,3
225,2024-08-09 13:45:00,2024-08-09,13:45:00,29,1,Friday,0,1,0,3
226,2024-08-09 13:46:00,2024-08-09,13:46:00,29,1,Friday,0,1,0,3
227,2024-08-09 13:47:00,2024-08-09,13:47:00,29,1,Friday,0,1,0,3
228,2024-08-09 13:48:00,2024-08-09,13:48:00,29,1,Friday,0,1,0,3
229,2024-08-09 13:49:00,2024-08-09,13:49:00,29,1,Friday,0,1,0,3
230,2024-08-09 13:50:00,2024-08-09,13:50:00,29,1,Friday,0,1,0,3
231,2024-08-09 13:51:00,2024-08-09,13:51:00,29,1,Friday,0,1,0,3
232,2024-08-09 13:52:00,2024-08-09,13:52:00,29,1,Friday,0,1,0,3
233,2024-08-09 13:53:00,2024-08-09,13:53:00,29,1,Friday,0,1,0,3
234,2024-08-09 13:54:00,2024-08-09,13:54:00,29,1,Friday,0,1,0,3
235,2024-08-09 13:55:00,2024-08-09,13:55:00,29,1,Friday,0,1,0,3
236,2024-08-09 13:56:00,2024-08-09,13:56:00,29,1,Friday,0,1,0,3
237,2024-08-09 13:57:00,2024-08-09,13:57:00,29,1,Friday,0,1,0,3
238,2024-08-09 13:58:00,2024-08-09,13:58:00,29,1,Friday,0,1,0,3
239,2024-08-09 13:59:00,2024-08-09,13:59:00,29,1,Friday,0,1,0,3
240,2024-08-09 14:00:00,2024-08-09,14:00:00,29,1,Friday,0,1,0,3
241,2024-08-09 14:01:00,2024-08-09,14:01:00,29,1,Friday,0,1,0,3
242,2024-08-09 14:02:00,2024-08-09,14:02:00,29,1,Friday,0,1,0,3
243,2024-08-09 14:03:00,2024-08-09,14:03:00,29,1,Friday,0,1,0,3
244,2024-08-09 14:04:00,2024-08-09,14:04:00,29,1,Friday,0,1,0,3
245,2024-08-09 14:05:00,2024-08-09,14:05:00,29,1,Friday,0,1,0,3
246,2024-08-09 14:06:00,2024-08-09,14:06:00,29,1,Friday,0,1,0,3
247,2024-08-09 14:07:00,2024-08-09,14:07:00,29,1,Friday,0,1,0,3
248,2024-08-09 14:08:00,2024-08-09,14:08:00,29,1,Friday,0,1,0,3
249,2024-08-09 14:09:00,2024-08-09,14:09:00,29,1,Friday,0,1,0,3
250,2024-08-09 14:10:00,2024-08-09,14:10:00,29,1,Friday,0,1,0,3
251,2024-08-09 14:11:00,2024-08-09,14:11:00,29,1,Friday,0,1,0,3
252,2024-08-09 14:12:00,2024-08-09,14:12:00,29,1,Friday,0,1,0,3
253,2024-08-09 14:13:00,2024-08-09,14:13:00,29,1,Friday,0,1,0,3
254,2024-08-09 14:14:00,2024-08-09,14:14:00,29,1,Friday,0,1,0,3
255,2024-08-09 14:15:00,2024-08-09,14:15:00,29,1,Friday,0,1,0,3
256,2024-08-09 14:16:00,2024-08-09,14:16:00,29,1,Friday,0,1,0,3
257,2024-08-09 14:17:00,2024-08-09,14:17:00,29,1,Friday,0,1,0,3
258,2024-08-09 14:18:00,2024-08-09,14:18:00,29,1,Friday,0,1,0,3
259,2024-08-09 14:19:00,2024-08-09,14:19:00,29,1,Friday,0,1,0,3
260,2024-08-09 14:20:00,2024-08-09,14:20:00,29,1,Friday,0,1,0,3
261,2024-08-09 14:21:00,2024-08-09,14:21:00,29,1,Friday,0,1,0,3
262,2024-08-09 14:22:00,2024-08-09,14:22:00,29,1,Friday,0,1,0,3
263,2024-08-09 14:23:00,2024-08-09,14:23:00,29,1,Friday,0,1,0,3
264,2024-08-09 14:24:00,2024-08-09,14:24:00,29,1,Friday,0,1,0,3
265,2024-08-09 14:25:00,2024-08-09,14:25:00,29,1,Friday,0,1,0,3
