Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Date,Public Holiday,School Holiday,Wait Time
Sentosa Island,2023,6,13,0.0,0.0,0.0,0.0,28.9,32.8,26.1,6.1,24.1,2023-06-13,0,1,18.488095238095237
Sentosa Island,2023,6,14,3.0,3.0,3.0,3.0,28.1,30.6,24.5,4.9,27.8,2023-06-14,0,1,24.80952380952381
Sentosa Island,2023,6,15,1.4,1.2,1.4,1.4,28.9,31.7,26.9,4.7,18.0,2023-06-15,0,1,32.17857142857143
Sentosa Island,2023,6,16,0.0,0.0,0.0,0.0,29.8,33.0,27.5,5.8,20.6,2023-06-16,0,1,29.107142857142858
Sentosa Island,2023,6,17,0.0,0.0,0.0,0.0,29.9,33.0,28.1,5.6,17.6,2023-06-17,0,1,32.07142857142857
Sentosa Island,2023,6,18,7.6,6.8,7.0,7.4,28.5,32.2,22.4,3.7,47.2,2023-06-18,0,1,17.19047619047619
Sentosa Island,2023,6,19,0.0,0.0,0.0,0.0,29.3,33.3,26.8,5.0,24.4,2023-06-19,0,1,41.357142857142854
Sentosa Island,2023,6,20,0.0,0.0,0.0,0.0,29.3,32.8,27.8,5.8,21.7,2023-06-20,0,1,21.142857142857142
Sentosa Island,2023,6,21,0.4,0.4,0.4,0.4,29.5,32.3,26.7,6.1,29.4,2023-06-21,0,1,29.345238095238095
Sentosa Island,2023,6,22,4.2,4.0,4.2,4.2,29.6,34.0,25.1,6.0,33.5,2023-06-22,0,1,35.382716049382715
Sentosa Island,2023,6,23,0.0,0.0,0.0,0.0,29.9,33.5,28.1,5.9,24.1,2023-06-23,0,1,36.904761904761905
Sentosa Island,2023,6,24,2.4,2.2,2.2,2.2,28.5,31.7,25.2,4.1,23.7,2023-06-24,0,1,32.44047619047619
Sentosa Island,2023,6,25,2.2,1.8,2.0,2.0,28.8,32.7,25.3,4.6,22.4,2023-06-25,0,1,21.845238095238095
Sentosa Island,2023,6,26,0.2,0.2,0.2,0.2,28.5,31.6,25.6,5.6,26.3,2023-06-26,0,0,39.05952380952381
Sentosa Island,2023,6,27,1.6,1.4,1.4,1.6,28.4,30.1,25.2,5.4,20.9,2023-06-27,0,0,
Sentosa Island,2023,6,28,21.6,10.2,12.0,12.2,27.9,31.0,24.0,5.3,19.4,2023-06-28,0,0,
Sentosa Island,2023,6,29,0.0,0.0,0.0,0.0,29.1,32.8,27.4,5.6,24.4,2023-06-29,1,1,36.82142857142857
Sentosa Island,2023,6,30,22.4,11.2,20.4,22.4,28.2,30.8,25.1,4.6,25.6,2023-06-30,0,0,38.51190476190476
Sentosa Island,2023,7,1,8.4,7.2,8.4,8.4,27.8,30.8,25.0,7.9,35.0,2023-07-01,0,0,35.785714285714285
Sentosa Island,2023,7,2,0.0,0.0,0.0,0.0,29.1,32.0,27.4,5.2,18.0,2023-07-02,0,0,26.392857142857142
Sentosa Island,2023,7,3,0.0,0.0,0.0,0.0,28.8,32.7,27.6,5.3,30.2,2023-07-03,0,1,40.36904761904762
Sentosa Island,2023,7,4,0.0,0.0,0.0,0.0,29.7,34.9,28.0,6.5,32.0,2023-07-04,0,0,40.0
Sentosa Island,2023,7,5,35.6,19.8,23.0,31.6,27.9,31.7,23.5,5.5,45.4,2023-07-05,0,0,40.892857142857146
Sentosa Island,2023,7,6,0.2,0.2,0.2,0.2,27.6,30.7,25.9,3.6,18.0,2023-07-06,0,0,39.86904761904762
Sentosa Island,2023,7,7,0.0,0.0,0.0,0.0,28.4,32.5,26.2,4.6,25.2,2023-07-07,0,0,39.63095238095238
Sentosa Island,2023,7,8,0.0,0.0,0.0,0.0,29.1,32.6,26.6,6.2,29.1,2023-07-08,0,0,39.25
