Ride,Date/Time,Wait Time,DayType
Treasure Hunters,2023-01-08 15:40:03,30,2
Treasure Hunters,2023-01-08 15:45:03,30,2
Treasure Hunters,2023-01-08 15:50:03,30,2
Treasure Hunters,2023-01-08 15:55:03,30,2
Treasure Hunters,2023-01-08 16:00:04,30,2
Treasure Hunters,2023-01-08 16:05:03,30,2
Treasure Hunters,2023-01-08 16:10:03,30,2
Treasure Hunters,2023-01-08 16:15:05,30,2
Treasure Hunters,2023-01-08 16:20:03,30,2
Treasure Hunters,2023-01-08 16:25:03,30,2
Treasure Hunters,2023-01-08 16:30:03,30,2
Treasure Hunters,2023-01-08 16:35:04,30,2
Treasure Hunters,2023-01-08 16:40:03,30,2
Treasure Hunters,2023-01-08 16:45:03,30,2
Treasure Hunters,2023-01-08 16:50:04,30,2
Treasure Hunters,2023-01-08 16:55:03,30,2
Treasure Hunters,2023-01-08 17:00:04,30,2
Treasure Hunters,2023-01-08 17:05:03,30,2
Treasure Hunters,2023-01-08 17:10:03,30,2
Treasure Hunters,2023-01-08 17:20:03,30,2
Treasure Hunters,2023-01-08 17:25:04,30,2
Treasure Hunters,2023-01-08 17:30:04,30,2
Treasure Hunters,2023-01-08 17:35:04,30,2
Treasure Hunters,2023-01-08 17:40:03,30,2
Treasure Hunters,2023-01-08 17:45:03,30,2
Treasure Hunters,2023-01-08 17:50:04,30,2
Treasure Hunters,2023-01-08 17:55:04,30,2
Treasure Hunters,2023-01-11 11:00:04,5,0
Treasure Hunters,2023-01-11 11:05:03,5,0
Treasure Hunters,2023-01-11 11:10:05,5,0
Treasure Hunters,2023-01-11 11:15:04,5,0
Treasure Hunters,2023-01-11 11:20:03,5,0
Treasure Hunters,2023-01-11 11:25:03,5,0
Treasure Hunters,2023-01-11 11:30:03,5,0
Treasure Hunters,2023-01-11 11:35:03,5,0
Treasure Hunters,2023-01-11 11:40:03,5,0
Treasure Hunters,2023-01-11 11:45:04,20,0
Treasure Hunters,2023-01-11 11:50:03,20,0
Treasure Hunters,2023-01-11 11:55:03,20,0
Treasure Hunters,2023-01-11 12:00:04,20,0
Treasure Hunters,2023-01-11 12:05:03,20,0
Treasure Hunters,2023-01-11 12:10:03,20,0
Treasure Hunters,2023-01-11 12:15:03,30,0
Treasure Hunters,2023-01-11 12:20:03,30,0
Treasure Hunters,2023-01-11 12:25:03,30,0
Treasure Hunters,2023-01-11 12:30:03,40,0
Treasure Hunters,2023-01-11 12:35:04,40,0
Treasure Hunters,2023-01-11 12:40:04,40,0
Treasure Hunters,2023-01-11 12:45:04,40,0
Treasure Hunters,2023-01-11 12:50:03,40,0
Treasure Hunters,2023-01-11 12:55:03,40,0
Treasure Hunters,2023-01-11 13:00:05,40,0
Treasure Hunters,2023-01-11 13:05:03,40,0
Treasure Hunters,2023-01-11 13:10:04,40,0
Treasure Hunters,2023-01-11 13:15:03,40,0
Treasure Hunters,2023-01-11 13:20:04,40,0
Treasure Hunters,2023-01-11 13:25:03,40,0
Treasure Hunters,2023-01-11 13:30:04,40,0
Treasure Hunters,2023-01-11 13:35:03,40,0
Treasure Hunters,2023-01-11 13:40:03,40,0
Treasure Hunters,2023-01-11 13:45:03,40,0
Treasure Hunters,2023-01-11 13:50:03,40,0
Treasure Hunters,2023-01-11 13:55:03,40,0
Treasure Hunters,2023-01-11 14:00:03,30,0
Treasure Hunters,2023-01-11 14:05:03,30,0
Treasure Hunters,2023-01-11 14:10:03,30,0
Treasure Hunters,2023-01-11 14:15:03,30,0
